,,屋根露出防水絶縁工法 (１㎡当たり),,,,,,,,,,,,
名 称,,,,,摘 要,単位,Ｄ－１,,,,Ｄ－２,,,備 考
,,,,,,,平 面,,立上り 立下り面,,平 面,立上り 立下り面,,
アスファルトプライマー,,,,,,㎏,0.2,,0.2,,0.2,0.2,,
アスファルト,,,,,3種,㎏,4.2,,4.75,,3.2,3.75,,
ゴムアスファルト系シール材,,,,,,L,―,,0.25,,―,0.25,,
アスファルトルーフィング,,,,,1500,㎡,1.14,,1.14,,1.14,1.14,,
網状アスファルトルーフィング,,,,,,㎡,―,,0.26,,―,0.26,,
砂付あなあきルーフィング,,,,,,㎡,1.04,,△1.3,,1.04,△1.3,,
ストレッチルーフィング,,,,,1000,㎡,2.28,,3.14,,1.14,2,,
砂付ストレッチルーフィング,,,,,,㎡,1.14,,1.14,,1.14,1.14,,
燃料,,,,,重油,L,1.3,,1.8,,1,1.5,,
防水工,,,,,,人,0.087,,0.13,,0.072,0.11,,
普通作業員,,,,,,人,0.03,,0.043,,0.025,0.036,,
その他,,,,,,式,1,,1,,1,1,,
